,C061129A1-SR-C1,C060112A1-SR-C1,C060202A4-SR-C1,C061128A3-SR-C1,C060116A4-SR-C1,C060116A1-SR-C1,C061128A1-SR-C1,C061128A4-SR-C1,C061121A1-SR-C1,C061208A2-SR-C1,C060112A6-SR-C1,C061208A3-SR-C1,C060116A6-SR-C1,C060202A2-SR-C1,C060112A4-SR-C1,C070109A4-C1,C060209A3-SR-C1,C060114A6-SR-C1,C060116A7-SR-C1,C060109A1-SR-C1,C080501B2-SR-C1,C060112A7-SR-C1,C061129A3-SR-C1,C060109A3-SR-C1,C060114A5-SR-C1,C060110A2-SR-C1,C060114A7-SR-C1,C060110A3-SR-C1,C060109A2-SR-C1,C060116A3-SR-C1,C061128B1-SR-C1,C060114A4-SR-C1,C061128B2-SR-C1,C060112A3-SR-C1,C060202A1-SR-C1,C061208B2-SR-C1,C080501A5-SR-C1,C061128A5-SR-C1,C061208B1-SR-C1,C060110A5-SR-C1,C060114A2-SR-C1,C060202A6-SR-C1,C060202A5-SR-C1,C060116A5-SR-C1
IDthresh_120.soma.v.voltage_deflection_begin,17.4991,22.505,23.3474,24.0061,17.1454,21.2329,27.5855,14.2655,27.5993,21.6842,28.765,21.1324,24.6511,17.109,17.9974,25.4885,14.622,19.6631,21.2163,12.9475,16.5414,16.98,18.9042,15.5035,20.234,17.9173,20.6367,25.7611,15.8069,25.2628,23.8568,19.0304,22.3019,20.5607,18.594,21.636,17.3332,21.8379,23.265,17.4448,18.1016,15.8447,20.4308,22.065
IDthresh_120.soma.v.steady_state_voltage,-87.2272,-85.6107,-88.7464,-86.8253,-86.3433,-84.6293,-85.7166,-85.1766,-86.3045,-84.391,-86.1014,-83.5128,-85.5214,-86.1632,-85.685,-89.373,-88.4135,-87.7349,-85.9046,-86.7068,-86.1851,-83.1707,-86.5245,-88.2008,-85.0716,-88.5877,-86.0873,-86.5863,-88.1005,-85.0833,-85.3877,-85.516,-85.8995,-86.2031,-84.7992,-84.1003,-84.876,-85.6987,-84.5327,-84.0596,-85.9672,-84.8172,-87.6862,-86.8004
IDthresh_120.soma.v.decay_time_constant_after_stim,11.2434,14.1569,9.3929,17.0942,15.8072,13.6221,13.1131,21.064,12.9839,19.4964,15.5355,20.3213,14.4411,18.0827,20.5522,16.801,19.5733,14.6667,18.5628,9.4228,18.0486,25.4074,13.4487,9.9947,18.4476,14.2295,22.4912,14.7662,11.0894,13.0271,14.6245,16.9177,10.5034,13.7513,19.8125,21.9057,10.989,13.2484,18.2447,13.7034,17.4969,21.7303,16.1917,15.2563
IDthresh_150.soma.v.mean_frequency,11.3136,,8.4956,2.9371,,6.5168,6.5353,14.7585,8.6607,7.2635,,7.0269,,5.0118,,5.2599,2.4284,,4.9469,,5.9204,,6.0339,,,,,,,,8.5008,,8.9885,,2.8099,6.0601,9.3934,7.7474,7.184,7.0198,,5.7416,4.3988,
IDthresh_150.soma.v.time_to_first_spike,33.4,,20.3833,27.25,,25.775,20.4571,48.4167,18.4833,38.9667,,39.45,,29.2833,,33.8833,51.3667,,31.5,,34.6833,,28.85,,,,,,,,24.7333,,17.9,,38.325,39.2625,22.9333,25.4833,33.1667,21.0,,41.7,33.3,
IDthresh_150.soma.v.time_to_last_spike,1002.02,,1961.1833,1803.9167,,1919.825,1909.2286,207.5167,1942.7167,1901.7,,1888.8333,,1880.6667,,1907.5667,1358.9333,,1865.1,,1883.7167,,1899.3833,,,,,,,,1920.4,,1932.72,,1800.45,1899.725,1946.7167,1912.5167,1949.2667,1924.2,,1914.4833,1884.4167,
IDthresh_150.soma.v.inv_time_to_first_spike,30.6227,,49.324,36.9126,,38.8689,49.3607,20.7867,54.3229,25.9765,,25.8489,,34.1982,,29.7678,19.6766,,32.0645,,28.969,,35.0577,,,,,,,,40.6742,,56.1176,,26.1812,25.7157,44.1726,39.4313,30.3206,47.8911,,24.0919,30.3297,
IDthresh_150.soma.v.inv_first_ISI,0.6594,,11.4049,10.1426,,9.3165,17.8223,0.87,11.3106,9.0977,,9.1207,,7.0221,,8.4347,2.7268,,7.2803,,7.0153,,7.0304,,,,,,,,11.8107,,14.2519,,5.917,9.104,11.47,11.4347,10.7451,9.7968,,6.5085,5.1407,
IDthresh_150.soma.v.inv_second_ISI,0.4671,,8.2053,2.809,,6.9964,6.6308,0.0,7.8832,7.0692,,7.3748,,5.524,,4.8896,1.201,,4.6891,,5.4897,,5.4918,,,,,,,,8.0305,,8.2931,,3.2866,5.9212,9.4812,6.6401,7.3611,6.7173,,5.9251,2.7656,
IDthresh_150.soma.v.inv_third_ISI,0.0,,7.7541,2.5734,,6.2173,6.3877,0.0,7.933,6.7744,,7.1105,,5.0037,,4.6424,0.3989,,3.9282,,5.3162,,5.2242,,0.0,,,,,,7.8909,,8.0281,,1.3375,5.5394,9.1122,6.9668,6.7001,6.684,,5.4517,4.0971,
IDthresh_150.soma.v.inv_fourth_ISI,0.0,,7.8601,1.3184,,6.0237,5.6832,0.0,8.0287,6.5044,,6.4778,,4.1625,,4.2452,0.0,,4.0072,,5.3224,,5.3206,,0.0,,,,,,7.8922,,7.9965,,1.4632,5.3162,9.0866,7.2335,6.5471,6.2578,,5.1354,3.9924,
IDthresh_150.soma.v.inv_fifth_ISI,0.0,,7.7785,1.3265,,5.7242,5.279,0.0,8.2449,6.4951,,6.1311,,4.3677,,4.4505,0.0,,4.277,,5.2372,,5.4491,,0.0,,,,,,7.7158,,8.1003,,1.245,5.1762,8.8795,7.0434,6.254,5.9918,,5.2181,4.5022,
IDthresh_150.soma.v.inv_last_ISI,0.5926,,8.3206,2.4203,,6.0773,5.8937,0.87,8.4202,6.8525,,6.5455,,4.7501,,4.7133,1.2364,,4.2404,,5.4393,,5.6293,,,,,,,,8.4062,,8.8823,,2.5704,5.6939,8.9274,7.4743,7.0358,6.5974,,5.1253,4.6335,
IDthresh_150.soma.v.voltage_deflection,24.4659,,20.2437,30.99,,21.1049,32.997,24.4035,27.0631,25.0953,,25.8219,,20.019,,30.01,22.8882,,23.2882,,24.6842,,22.857,,,,,,,,26.7649,,22.6462,,18.9407,23.5661,16.5636,28.5375,22.1073,15.9343,,15.2759,27.0485,
IDthresh_150.soma.v.voltage_deflection_begin,22.4055,,24.0692,30.9548,,24.5793,28.8806,19.4673,28.9383,24.6519,,23.2107,,19.6192,,30.345,19.0997,,22.194,,20.811,,24.0976,,,,,,,,26.2616,,22.6743,,21.3887,23.5591,18.9036,26.6618,26.6646,19.743,,18.339,27.916,
IDthresh_150.soma.v.steady_state_voltage,-87.1721,,-87.5996,-85.6928,,-84.4883,-85.0591,-84.5675,-85.9081,-83.2493,,-83.1224,,-85.7532,,-87.5817,-88.1656,,-85.7346,,-84.4345,,-85.8475,,,,,,,,-85.1583,,-85.7433,,-84.2843,-83.1453,-84.2399,-84.9398,-84.2809,-84.1999,,-85.7388,-86.9406,
IDthresh_150.soma.v.decay_time_constant_after_stim,12.7054,,7.7234,15.7023,,9.4445,10.1938,20.4702,10.4726,17.8176,,17.8706,,11.7384,,15.2737,20.5716,,15.7915,,15.0767,,12.1097,,,,,,,,11.983,,9.6801,,13.8648,20.4112,7.8742,12.7452,14.1323,8.6623,,13.2705,12.4817,
APWaveform_300.soma.v.AP_height,,5.9948,14.9698,8.3458,,,,,20.1347,,,8.4958,,13.8875,,,11.2875,,,,,,23.425,,19.5729,,,15.3167,,,,,,18.624,,5.9229,,,,,,11.2156,,
APWaveform_300.soma.v.doublet_ISI,,8.9667,16.1,9.05,,,,,13.5333,,,11.8333,,19.9,,,30.2333,,,,,,9.05,,17.9667,,,7.7333,,,,,,23.8333,,15.8667,,,,,,18.3667,,
APWaveform_300.soma.v.AP_width,,2.4833,,3.4333,,,,,2.8667,,,1.9667,,,,,1.8333,,,,,,2.025,,2.8667,,,2.2,,,,,,2.7667,,2.55,,,,,,1.85,,
APWaveform_300.soma.v.time_to_first_spike,,9.0333,7.5,8.45,,,,,7.3333,,,12.5667,,10.4333,,,14.8333,,,,,,,,10.6333,,,7.4667,,,,,,11.1,,14.2,,,,,,16.2333,,
APWaveform_300.soma.v.AHP_depth_abs,,-57.4823,-58.2698,-50.0948,,,,,-51.9844,,,-58.4802,,-62.849,,,-61.125,,,,,,-58.0734,,-58.6938,,,-55.6427,,,,,,-60.1687,,-56.0687,,,,,,-56.3031,,
APWaveform_300.soma.v.AHP_depth,,24.2528,23.2094,32.9099,,,,,30.2257,,,24.5031,,19.5913,,,21.5316,,,,,,23.2568,,24.2764,,,27.2646,,,,,,23.5549,,27.3135,,,,,,27.8344,,
APWaveform_300.soma.v.fast_AHP,,-19.9042,-41.0917,-16.2375,,,,,-17.6969,,,-32.4823,,-36.8104,,,-28.2187,,,,,,-10.6484,,-34.4833,,,-15.9396,,,,,,-30.1125,,-47.7854,,,,,,-38.3562,,
APWaveform_300.soma.v.AHP_time_from_peak,,8.5667,7.1833,7.9333,,,,,7.65,,,6.6167,,7.6667,,,11.0667,,,,,,8.25,,9.6,,,5.9167,,,,,,9.7,,8.1,,,,,,7.25,,
APWaveform_300.soma.v.AP1_peak,,5.9667,13.8646,7.6875,,,,,21.5042,,,5.6417,,11.2667,,,9.9208,,,,,,27.9344,,22.4229,,,16.6479,,,,,,17.2563,,2.2,,,,,,8.725,,
APWaveform_300.soma.v.AP2_AP1_peak_diff,,0.0562,2.2104,-2.8875,,,,,-4.1208,,,5.7083,,5.2417,,,2.7333,,,,,,-13.4406,,-5.7,,,-7.6146,,,,,,2.7354,,7.4458,,,,,,4.9813,,
APWaveform_300.soma.v.AP2_width,,2.7365,2.6392,3.3586,,,,,2.8281,,,2.024,,2.4094,,,,,,,,,2.0976,,3.2661,,,2.2554,,,,,,2.7725,,2.8596,,,,,,,,
APWaveform_300.soma.v.AP1_begin_width,,11.9,10.1667,,,,,,10.9667,,,15.0667,,13.4333,,,25.7,,,,,,11.25,,14.1333,,,9.4,,,,,,17.0,,17.5333,,,,,,21.9,,
APWaveform_300.soma.v.AP2_peak,,6.0229,16.075,4.8,,,,,17.3833,,,11.35,,16.5083,,,12.6542,,,,,,14.4938,,16.7229,,,9.0333,,,,,,19.9917,,9.6458,,,,,,13.7062,,
APWaveform_300.soma.v.AHP2_depth_from_peak,,64.4458,77.8813,56.2313,,,,,71.4917,,,70.5938,,83.9854,,,,,,,,,75.6,,77.8667,,,62.8875,,,,,,82.2146,,68.7229,,,,,,,,
APWaveform_300.soma.v.AP1_width,,1.5436,1.2878,1.5832,,,,,1.3058,,,1.2232,,1.1868,,,1.5655,,,,,,0.9716,,1.2616,,,1.2239,,,,,,1.6434,,1.4902,,,,,,1.2555,,
APWaveform_300.soma.v.AP2_begin_width,,6.7333,5.0333,6.3,,,,,5.7667,,,4.4667,,,,,,,,,,,5.05,,7.1667,,,5.6667,,,,,,5.9667,,5.2667,,,,,,,,
APWaveform_300.soma.v.AP2_AP1_begin_width_diff,,-5.1667,-5.1333,-5.1,,,,,-5.2,,,-10.6,,-9.2333,,,,,,,,,-6.2,,-6.9667,,,-3.7333,,,,,,-11.0333,,-12.2667,,,,,,,,
APWaveform_300.soma.v.AHP1_depth_from_peak,,62.5083,68.5979,55.8687,,,,,71.3646,,,63.3583,,69.4875,,,71.0458,,,,,,82.975,,78.6667,,,74.0792,,,,,,75.3708,,55.2604,,,,,,63.5979,,
APWaveform_300.soma.v.AP1_amp,,109.1667,109.6896,117.2094,,,,,117.35,,,104.1333,,106.2979,,,99.2646,,,,,,115.9906,,113.15,,,110.5271,,,,,,105.4833,,103.0458,,,,,,101.9542,,
APWaveform_300.soma.v.AP2_amp,,57.5958,64.5562,47.9844,,,,,60.9,,,61.8896,,67.1042,,,67.4146,,,,,,63.8812,,65.9,,,58.3187,,,,,,72.075,,56.8188,,,,,,64.8958,,
APWaveform_300.soma.v.AP_amplitude,,83.3813,87.1229,74.6781,,,,,82.5215,,,83.0115,,86.701,,,83.3396,,,,,,86.8135,,89.525,,,79.3764,,,,,,88.7792,,79.9323,,,,,,83.425,,
APWaveform_300.soma.v.APlast_amp,,57.5958,64.5562,58.8406,,,,,69.3146,,,61.8896,,67.1042,,,67.4146,,,,,,80.5687,,65.9,,,69.2833,,,,,,72.075,,56.8188,,,,,,64.8958,,
APWaveform_300.soma.v.AP_duration_half_width,,1.1667,1.0833,1.0,,,,,1.1889,,,0.8833,,1.25,,,0.95,,,,,,1.4667,,1.2333,,,1.1,,,,,,1.5,,1.2,,,,,,0.8833,,
Step_120.soma.v.AHP_slow_time,,0.1741,0.1727,,0.179,0.1779,0.1487,,0.2054,0.1977,0.1486,0.1788,0.1804,0.0914,0.1335,0.1526,,,0.0975,0.2468,0.1107,0.1775,0.1425,0.1256,0.1012,0.1448,0.1444,0.0684,0.1025,0.1278,0.199,0.1027,0.1676,0.139,0.0379,0.1549,0.23,0.1985,0.1659,0.1727,0.0902,0.157,,0.1801
Step_120.soma.v.ISI_CV,,0.48,0.05,,0.2038,0.2563,0.4448,,0.1965,0.0892,0.2654,0.2721,0.1525,0.4965,0.4679,0.1235,,,0.2415,0.1303,,0.0575,0.367,0.6037,0.5455,0.1704,0.2578,0.5964,,0.2676,0.1307,0.4294,0.0923,0.362,,0.565,0.0999,0.0989,0.3835,0.2244,0.2086,0.2912,,0.4051
Step_120.soma.v.doublet_ISI,,363.14,268.2875,,486.1857,302.3857,458.3667,,225.95,528.5,397.16,305.7875,206.6111,775.7444,680.3,698.8,871.2,1631.0,763.9667,305.95,750.425,533.64,317.6,707.325,802.7333,260.5,493.81,565.4875,1256.12,210.85,288.625,1121.1111,295.1833,296.9167,844.0143,646.19,170.0143,288.22,243.9,214.5714,633.7,501.425,1476.45,195.0333
Step_120.soma.v.adaptation_index2,,-0.17,0.0073,,-0.0495,-0.1026,-0.0142,,-0.0752,-0.0042,-0.1322,-0.0584,-0.0241,-0.1796,-0.1188,-0.0572,,,-0.0129,-0.0467,,0.0132,0.1943,-0.4269,-0.0873,-0.0192,-0.0728,-0.1212,,0.0033,0.0031,-0.2463,0.0171,-0.1156,,-0.1348,0.0184,0.0236,-0.1644,0.0645,0.1102,0.1485,,-0.0386
Step_120.soma.v.AHP_depth_abs_slow,,-65.3546,-69.2143,,-72.425,-67.3943,-61.3655,,-62.8769,-65.9627,-59.4918,-66.7468,-64.2783,-72.9414,-68.3304,-62.3067,,,-68.5743,-77.4808,-71.3658,-69.7578,-67.5403,-75.2642,-68.0836,-74.2187,-68.229,-64.5953,-73.2419,-62.2092,-64.1247,-67.1529,-67.1573,-70.6918,-70.545,-67.2376,-71.3503,-62.3199,-64.1839,-70.3459,-71.6034,-73.9526,,-68.3896
Step_120.soma.v.ISI_log_slope,,-0.5657,0.0226,,-0.1509,-0.3198,-0.0699,,-0.2588,-0.0208,-0.4133,-0.1441,-0.1101,-0.4983,-0.5248,-0.2098,,,-0.0881,-0.1601,,0.0566,0.6133,-1.3223,-0.1559,-0.0729,-0.2433,-0.3646,,0.0693,0.0264,-0.7588,0.0471,-0.4225,,-0.4541,0.0808,0.0571,-0.5929,0.2418,0.3245,0.4919,,-0.1207
Step_120.soma.v.ISI_log_slope_skip,,-0.5687,0.02,,-0.138,-0.3581,-0.4357,,-0.267,-0.0777,-0.4065,-0.3279,-0.0572,-0.4983,-0.5248,-0.2098,,,-0.1012,-0.1831,,0.0126,0.7045,-1.3223,-0.1559,-0.1457,-0.2531,-0.3646,,0.0277,0.0664,-0.9221,-0.0114,-0.5191,,-0.6292,0.0807,0.0656,-0.5127,0.2132,0.3245,0.4579,,-0.3017
Step_120.soma.v.burst_number,,1.3333,,,1.25,,1.4,,1.1429,,,1.3333,,,,,,,,,,,,,,,,,,1.4286,,,,1.25,,1.75,,,,,,,,1.2857
Step_120.soma.v.AP2_AP1_peak_diff,,6.7725,3.9298,,1.9548,2.7609,4.6656,,2.4947,0.4325,0.641,0.9691,3.8924,2.4482,1.5322,3.7817,2.0667,4.2394,4.5115,2.2088,1.6422,0.946,3.52,4.9728,1.4629,3.7283,2.5581,4.7881,4.0377,1.4234,2.6328,0.5544,5.1706,3.3235,-0.4745,3.4188,1.8082,2.4953,0.7497,3.3673,2.1486,0.2359,3.9269,5.1625
Step_120.soma.v.time_to_second_spike,,399.14,302.775,,534.9429,349.4714,490.0778,,255.7625,605.7571,443.86,372.6625,247.9667,821.8,738.04,751.7333,941.1,1669.1,811.6333,360.7625,802.9,612.28,357.0,752.525,860.1833,300.1,552.66,611.675,1298.64,259.35,333.9,1171.2,322.9833,343.3667,903.1571,711.27,204.5429,326.62,306.0,248.8,684.1625,582.6,1522.65,238.0556
Step_120.soma.v.spikerate_tau_jj,,397.2335,194.1349,,173.6802,215.4756,106.3037,,306.0159,335.3457,74.074,229.2842,309.5003,,,130.9372,,,,536.9744,,251.0739,,,,316.6179,177.8447,,,319.4995,314.0534,,161.0254,103.6473,,192.9193,250.2275,113.3419,435.4766,288.7649,,594.5113,,243.6632
Step_120.soma.v.spikerate_drop,,0.6532,0.9105,,0.7458,0.6528,0.4971,,0.8796,0.9094,0.4892,0.7421,0.9135,,0.7654,0.6713,,,0.7245,0.9606,,0.7698,,,,0.7356,0.652,,,0.7278,0.867,,0.7775,0.7249,,0.7606,0.7365,0.7213,0.7871,0.6249,,0.7832,,0.7049
Step_120.soma.v.spikerate_tau_log,,88.4491,225.762,,189.2017,149.9659,87.5985,,275.203,193.5246,315.8753,187.1645,238.3704,,276.5621,420.0193,,,198.4011,264.8237,,229.5887,,,,202.4045,239.7868,,,258.3012,232.7658,,136.242,185.6651,,115.2999,260.6693,222.9803,152.8345,215.4264,,248.6575,,223.5427
Step_120.soma.v.spikerate_tau_fit,,132.8945,293.4161,,32.1455,177.527,87.0722,,72.2815,57.5338,9.0534,125.0472,199.4827,,150.315,34.0168,,,5.3868,77.0114,,258.2513,,,,210.6653,54.169,,,308.5447,298.9954,,51.2453,6.6974,,104.1694,300.9369,5.2129,4.3235,133.9013,,509.6997,,104.562
Step_120.soma.v.spikerate_tau_slope,,1.5191,0.4096,,1.4535,1.199,3.4956,,0.1549,0.6756,2.6909,0.1702,0.0005,,0.4734,2.3489,,,-1.3197,-0.1347,,2.898,,,,1.7126,3.0857,,,0.5213,-0.0899,,1.9607,0.7793,,0.0809,1.1124,1.6956,-1.3574,1.7699,,0.9729,,1.4124
Step_150.soma.v.ISI_CV,,0.2751,0.0755,0.388,0.3582,0.0892,0.1376,,0.0469,0.0559,0.0767,0.0795,0.1208,0.3104,0.2917,0.1342,0.3308,,0.1354,0.1932,0.0749,0.0864,0.0567,0.2378,0.4926,0.1372,0.1599,0.4795,,0.2461,0.0353,0.1947,0.0416,0.2866,0.4483,0.0565,0.0437,0.0536,0.1586,0.063,0.332,0.135,0.3498,0.3277
Step_150.soma.v.adaptation_index2,,0.0537,0.0076,-0.0259,-0.0024,0.0078,0.0072,,-0.0004,0.003,0.004,0.0091,0.0056,0.0173,-0.1377,-0.0612,0.1812,,0.0087,0.0179,-0.0233,0.0065,0.0015,0.0601,0.2656,0.0073,0.0153,0.0966,,0.044,-0.0014,-0.0139,-0.0008,0.085,0.0158,0.0024,0.0035,-0.0032,0.0036,0.0008,0.0784,0.0074,-0.0509,0.0221
Step_150.soma.v.ISI_log_slope,,0.2812,0.0263,-0.0364,0.0766,0.0739,0.082,,-0.0061,0.0141,0.0231,0.078,0.0763,0.1591,-0.4702,-0.1904,0.5923,,-0.0086,0.1532,-0.0831,0.0414,-0.0126,0.2257,1.0767,0.0708,0.1351,0.4968,,0.2314,-0.0077,-0.0227,-0.0176,0.3762,0.178,0.027,0.0296,-0.0254,0.0511,0.0064,0.2758,0.0723,-0.2711,0.1786
Step_150.soma.v.ISI_log_slope_skip,,-0.1564,-0.0007,-0.2627,0.0666,0.0294,0.0493,,-0.01,-0.0272,-0.0222,0.0357,0.0248,0.0252,-0.4813,-0.216,0.5856,,-0.088,-0.0364,-0.094,-0.0059,-0.025,0.3067,1.0767,0.005,0.0658,0.2379,,0.1618,-0.0144,-0.1783,-0.0293,0.163,-0.1062,-0.0086,0.0165,-0.0148,0.0058,-0.0088,0.199,0.0442,-0.0078,0.0147
Step_150.soma.v.burst_number,,1.5,,1.1667,1.5,,1.2222,,,,,,,1.625,,,,,,1.5,,,,,,,1.5,2.5,,1.5,,1.5,,,1.5,1.0,,,1.25,,,1.125,,2.0
Step_150.soma.v.spikerate_tau_jj,,105.1953,83.9637,73.3663,93.1943,146.6569,56.2632,,72.9804,86.216,28.3924,178.6794,83.0553,199.7892,83.3351,78.9196,209.1115,,129.636,228.2313,93.0681,145.2288,230.5428,,114.5166,66.7739,105.2556,64.462,,85.0732,57.8949,75.3385,59.0715,121.2175,193.9943,88.1382,119.5733,201.9511,123.1354,226.6405,,250.7071,362.71,67.1828
Step_150.soma.v.spikerate_drop,,0.3874,0.6741,0.2972,0.5622,0.6503,0.3376,,0.7233,0.7293,0.3279,0.695,0.5735,0.568,0.6074,0.5648,0.49,,0.607,0.6873,0.7629,0.6838,0.8027,0.7066,0.1688,0.4678,0.4339,0.2011,,0.413,0.7244,0.3828,0.6207,0.399,0.3707,0.612,0.7649,0.6519,0.6767,0.6727,,0.7685,0.8139,0.3884
Step_150.soma.v.spikerate_tau_log,,176.0707,52.6844,129.0851,39.1188,101.6141,56.675,,164.4121,78.7327,52.6657,128.2296,131.9217,243.8851,136.0571,93.4837,276.7786,,96.7121,284.4938,116.7234,171.684,139.6515,428.856,86.4731,68.1758,209.0343,90.5863,,247.848,37.2856,133.6569,58.3373,81.9448,328.1889,75.9495,105.7672,89.5791,124.8604,44.6881,,214.8107,193.1943,58.4489
Step_150.soma.v.spikerate_tau_fit,,87.714,28.0413,52.855,135.8104,101.4948,32.3038,,14.4718,44.1108,15.124,147.7134,67.6377,213.1281,3.927,31.5557,124.4132,,47.4711,292.925,60.0559,182.9871,31.665,179.724,97.1317,42.3322,100.2987,58.4857,,24.4023,13.7792,41.7748,6.6042,78.7398,179.5973,66.3236,112.6402,14.2451,43.6861,35.0452,,233.6191,7.7331,37.4546
Step_150.soma.v.spikerate_tau_slope,,3.6768,2.906,7.8202,3.0116,1.5465,5.7636,,1.4586,2.7397,5.0609,2.1025,1.2319,2.1232,2.2967,4.8245,3.7574,,2.3878,1.2622,1.334,1.9503,1.8661,0.8164,11.2286,3.6133,4.488,6.2958,,2.4148,2.1863,5.6639,2.8447,3.8813,2.6819,2.7103,1.5648,1.8794,2.828,2.7108,,1.2607,-0.5403,3.0528
Step_160.soma.v.burst_number,,1.5,,1.5,1.5,1.5,1.2222,,,,,,,1.4,,,1.3333,,,,,,,,,,,2.5,,1.5,,,,,,,,1.0,,1.5,,,1.0,2.0
Step_200.soma.v.burst_number,,1.5,,,,,,1.5,,,1.3333,,,,,1.5,1.25,,,,,,,,1.5,,,1.5,2.0,,,1.5,,1.5,,,,,,,1.5,,,
Step_280.soma.v.AP_height,,11.6378,12.3476,6.0051,20.2379,25.7247,8.5365,14.6359,15.826,10.4558,19.7986,9.727,7.7929,12.0759,16.6779,10.477,3.7885,20.7436,16.277,17.1475,15.4512,21.1453,20.8844,18.0325,15.2889,14.3901,8.3889,17.7542,25.3625,17.3265,11.0642,13.1691,8.4632,17.6774,5.8626,4.8109,15.8677,9.3578,,20.0654,12.8176,8.6708,7.46,11.582
Step_280.soma.v.AHP_slow_time,,0.3267,0.2973,0.2392,0.31,0.2865,0.3691,0.3072,0.3139,0.3097,0.2877,0.2812,0.288,0.2291,0.276,0.3528,0.2622,0.2406,0.2502,0.3348,0.2893,0.2655,0.3633,0.3054,0.2547,0.3454,0.2553,0.2975,0.3004,0.2766,0.3692,0.2591,0.4519,0.2428,0.2741,0.2754,0.3583,0.4053,,0.3555,0.3057,0.2996,0.2803,0.3248
Step_280.soma.v.ISI_CV,,0.1268,0.0808,0.2293,0.0508,0.1088,0.2494,0.1601,0.0931,0.0715,0.1536,0.0825,0.0623,0.0558,0.0646,0.1268,0.1103,0.2035,0.0947,0.0445,0.0756,0.1295,0.0323,0.0368,0.2372,0.0697,0.1545,0.1043,0.0606,0.1602,0.0801,0.1012,0.0609,0.2166,0.1387,0.1012,0.0938,0.0898,,0.058,0.1646,0.0599,0.0523,0.1148
Step_280.soma.v.doublet_ISI,,12.6,25.0,20.9,25.25,21.65,8.35,27.75,19.85,23.4,23.0,19.1,11.35,31.5,34.95,17.3,47.65,23.65,24.25,37.5,23.15,29.7,24.55,32.6,,22.05,24.4,11.9,27.85,17.4,18.8,28.4,17.0,29.6,28.5,24.15,28.55,17.75,,20.85,20.7,35.05,26.5,7.95
Step_280.soma.v.adaptation_index2,,0.0054,0.0029,0.0137,0.0032,0.007,0.0105,0.0228,0.0064,0.0039,0.0125,0.0064,0.0046,0.0039,0.004,0.0096,0.0065,0.0086,0.0047,-0.0002,0.0051,0.0154,0.0011,-0.0015,0.0139,0.0012,0.0157,0.0066,0.0048,0.0082,0.0045,0.0086,0.0022,0.0084,0.0112,0.0107,0.005,0.0027,,0.0039,0.0104,0.0037,0.0011,0.0086
Step_280.soma.v.mean_frequency,,18.5814,16.6781,13.9394,15.8214,15.0634,18.3065,9.7799,18.644,16.7338,14.4264,16.6455,16.6894,13.2196,13.5107,14.1924,10.8294,13.1682,14.3033,13.5063,14.3497,11.6405,18.7774,15.483,11.6258,16.7581,12.8349,18.2503,15.4125,16.1732,19.0846,12.8751,20.631,14.5177,12.3842,13.5717,18.5269,23.2429,,16.0774,13.3986,12.5863,15.2376,16.5118
Step_280.soma.v.AHP_depth_abs_slow,,-55.8472,-60.4793,-52.3483,-65.1295,-57.0558,-49.9608,-60.9182,-53.5459,-55.154,-51.5552,-57.7375,-58.1543,-61.3702,-62.2999,-48.9616,-67.3424,-65.0922,-65.9904,-69.9129,-60.6658,-62.394,-57.9244,-64.0015,-60.531,-67.255,-65.973,-57.176,-64.06,-54.4462,-56.3724,-62.3302,-57.3106,-62.6866,-60.8839,-60.5751,-62.9022,-51.7612,,-64.2277,-64.4727,-64.6303,-54.8092,-57.4461
Step_280.soma.v.AP_width,,4.1158,4.1289,5.0693,2.8429,2.9713,5.9083,4.2947,5.1892,3.3157,7.075,3.0266,3.7874,3.1817,3.7019,6.5609,4.3381,4.3187,3.8727,1.9387,2.7142,4.0628,3.344,2.5708,5.0162,2.6056,4.3671,4.0,2.7982,4.4952,4.9649,4.5511,3.427,3.7876,3.354,3.8674,2.5595,5.0463,,3.0788,4.0881,2.7103,3.8218,3.205
Step_280.soma.v.time_to_first_spike,,9.65,9.0,10.1,,10.25,7.25,15.75,8.4,13.0,9.4,,9.0,11.5,13.5,12.5,18.0,10.1,11.5,11.9,13.45,20.05,11.0,12.15,11.85,8.85,13.0,8.15,10.05,8.1,,10.0,7.9,11.9,12.0,,9.6,9.75,,8.65,,17.3,13.15,
Step_280.soma.v.AHP_depth_abs,,-55.6714,-60.3033,-52.0203,-64.8275,-56.8714,-49.7455,-59.8899,-53.3699,-54.9877,-51.3535,-57.5906,-57.9898,-61.0877,-61.9286,-48.3892,-67.0423,-63.4636,-65.0859,-69.4684,-60.3131,-61.9024,-57.6892,-63.5999,-60.2495,-67.072,-65.6295,-57.0907,-63.6911,-54.3851,-56.1802,-62.0458,-56.9233,-62.4823,-60.5977,-60.2272,-62.6446,-50.9188,,-63.9421,-64.1981,-64.1767,-54.5858,-57.1541
Step_280.soma.v.ISI_log_slope,,0.0266,0.0508,0.1838,0.0444,0.0967,0.1537,0.1958,0.0772,0.0533,0.1669,0.0761,0.0576,0.0447,0.0383,0.0899,0.1018,0.1417,0.0281,-0.0026,0.0678,0.1654,0.0147,-0.0089,0.2019,0.016,0.1829,0.0905,0.0363,0.1355,0.0776,0.0867,0.0319,0.0699,0.1137,0.1153,0.1076,0.0244,,0.0316,0.1378,0.0464,-0.0166,0.1049
